Taxon	0328_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0403_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0423_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0531_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0619_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0705_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0709_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1001_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1004_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1028_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1123_rrna.silva-bac-16s-database-id85.fasta.class.tsv
Root;Bacteria;"Proteobacteria";Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Epsilonproteobacteria;Campylobacterales	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter	0	0	0	0	0	0	0	0	0	0	2
Root;Bacteria;"Proteobacteria";Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurimonas	0	0	0	2	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria	41	16	7	35	12	8	57	34	17	40	85
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;"Enterobacteriales";Enterobacteriaceae	0	0	0	0	1	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;"Enterobacteriales";Enterobacteriaceae;Escherichia/Shigella	0	0	0	0	1	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;"Vibrionales";Vibrionaceae;Listonella	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;"Vibrionales";Vibrionaceae;Vibrio	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Alteromonadales	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Haliea	0	0	0	0	0	0	0	0	2	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas	0	0	0	0	0	2	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	0	0	0	0	0	0	0	0	0	3
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera	0	0	0	0	0	0	0	0	2	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales	0	1	0	0	0	0	0	0	0	2	1
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Oceanospirillales;Halomonadaceae	0	0	0	0	0	0	0	0	0	2	1
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter	0	0	0	0	0	0	0	0	0	0	2
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	0	0	1	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella	0	0	0	0	0	0	0	0	0	1	0
Root;Bacteria;"Verrucomicrobia"	0	0	1	0	2	4	0	1	0	1	7
Root;Bacteria;"Verrucomicrobia";Opitutae	0	2	0	0	1	1	0	1	0	2	5
Root;Bacteria;"Verrucomicrobia";Opitutae;Opitutales;Opitutaceae	0	0	0	1	0	0	0	0	0	1	1
Root;Bacteria;"Verrucomicrobia";Opitutae;Opitutales;Opitutaceae;Opitutus	2	0	0	2	0	2	0	3	0	4	2
Root;Bacteria;"Verrucomicrobia";Opitutae;Puniceicoccales;Puniceicoccaceae;Pelagicoccus	0	0	0	0	0	0	0	0	0	0	6
Root;Bacteria;"Verrucomicrobia";Spartobacteria;Spartobacteria_genera_incertae_sedis	0	0	0	0	13	0	0	0	2	0	0
Root;Bacteria;"Verrucomicrobia";Subdivision3;Subdivision3_genera_incertae_sedis	0	0	0	0	0	0	0	0	0	2	2
Root;Bacteria;"Verrucomicrobia";Verrucomicrobiae;Verrucomicrobiales;"Rubritaleaceae";Rubritalea	2	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;"Verrucomicrobia";Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	0	0	1	0	9	1	0	0	0	1	0
Root;Bacteria;"Verrucomicrobia";Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter	0	0	0	0	1	0	0	0	0	0	0
Root;Bacteria;Cyanobacteria/Chloroplast	1	0	1	5	1	0	4	1	1	0	1
Root;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast	5	0	2	13	0	1	6	4	0	3	5
Root;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Bacillariophyta	0	0	2	1	0	4	1	1	0	2	3
Root;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Chlorophyta	1	0	14	24	1	2	17	20	0	31	16
Root;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Cryptomonadaceae	4	8	12	69	5	7	13	12	2	17	31
Root;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria	2	0	2	0	1	0	2	1	2	3	1
Root;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria;Family I;GpI	1	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria;Family II	2	0	0	0	0	0	1	0	0	0	0
Root;Bacteria;Cyanobacteria/Chloroplast;Cyanobacteria;Family II;GpIIa	39	2	13	7	62	2	21	4	0	14	17
Root;Bacteria;Firmicutes	0	0	1	0	0	0	0	0	0	1	0
Root;Bacteria;Firmicutes;Bacilli;Bacillales	0	0	0	0	0	0	0	1	0	0	0
Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae 1	0	0	0	0	0	0	0	1	0	0	0
Root;Bacteria;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria	0	0	0	0	3	0	0	0	0	0	0
